filename,skill_name,category,conductive_relevant,complexity,notes
accounting/operating_cash_flow_ratio_calculator.py,operating_cash_flow_ratio_calculator,fund-accounting,yes,low,Cash flow from operations.
accounting/operating_profit_margin_calculator.py,operating_profit_margin_calculator,fund-accounting,yes,low,Operating income (EBIT).
accounting/quick_ratio_calculator.py,quick_ratio_calculator,fund-accounting,yes,low,Total current assets.
accounting/return_on_assets_calculator.py,return_on_assets_calculator,fund-accounting,yes,low,Net income for the period.
accounting/return_on_equity_calculator.py,return_on_equity_calculator,fund-accounting,yes,low,Net income for the period.
accounting/return_on_invested_capital_calculator.py,return_on_invested_capital_calculator,fund-accounting,yes,low,Net income for the period.
accounting/trial_balance_generator.py,trial_balance_generator,fund-accounting,yes,low,Aggregates journal entries into account-level debit/credit totals.
accounting/working_capital_calculator.py,working_capital_calculator,fund-accounting,yes,low,Total current assets.
accounting_standards/lease_accounting_calculator.py,lease_accounting_calculator,fund-accounting,yes,low,Computes lease liability; ROU asset; and income statement impact for ASC 842.
accounting_standards/revenue_recognition_checker.py,revenue_recognition_checker,fund-accounting,yes,medium,Applies the ASC 606 five-step model to contracts and allocates revenue to obligations.
achievements/achievement_tracker.py,achievement_tracker,generic-utility,no,low,Evaluates activity events for new badges and upcoming milestones.
achievements/badge_issuer.py,badge_issuer,generic-utility,no,medium,Creates cryptographic badge records for ambassador and achievement unlocks.
achievements/xp_calculator.py,xp_calculator,generic-utility,no,low,Tallies XP from recent activities and estimates level progression.
advanced_equities_spinoffs_restructuring/asset_light_transition_scorecard.py,,finance,maybe,high,Scores restructurings shifting to asset-light models based on margin potential.
advanced_equities_spinoffs_restructuring/bridge_loan_rollover_calculator.py,,finance,maybe,high,Models bridge maturity walls and rollover probability.
advanced_equities_spinoffs_restructuring/carveout_proceeds_allocator.py,,finance,maybe,high,Simulates cash deployment from equity carveouts vs. balance-sheet needs.
advanced_equities_spinoffs_restructuring/chapter11_plan_value_dashboard.py,,finance,yes,high,Compares plan recovery waterfalls against market pricing for multiple classes.
advanced_equities_spinoffs_restructuring/covenant_reset_playbook_builder.py,,finance,maybe,high,Outlines likely covenant reset packages from precedent negotiations.
advanced_equities_spinoffs_restructuring/declining_margin_turnaround_monitor.py,,finance,maybe,high,Scores restructurings on margin recovery speed relative to guidance.
advanced_equities_spinoffs_restructuring/deleveraging_path_visualizer.py,,finance,maybe,high,Charts leverage trajectories under various asset sale and EBITDA scenarios.
advanced_equities_spinoffs_restructuring/distressed_exchange_acceptance_model.py,,finance,maybe,high,Estimates acceptance probability for distressed exchanges across tranche holders.
advanced_equities_spinoffs_restructuring/dividend_capture_screener.py,,finance,maybe,high,Ranks capture setups using effective tax rate; borrow cost; and vol-adjusted decay.
advanced_equities_spinoffs_restructuring/earnings_quality_restatement_checker.py,,finance,yes,high,Flags restatement risk from irregular accruals and audit comments.
advanced_equities_spinoffs_restructuring/employee_option_overhang_quantifier.py,,finance,maybe,high,Measures equity overhang vs. expected dilution through restructuring.
advanced_equities_spinoffs_restructuring/equity_commitment_backstop_tracker.py,,finance,maybe,high,Monitors rights backstop size; participants; and pricing fairness.
advanced_equities_spinoffs_restructuring/equity_cure_need_forecaster.py,,finance,maybe,high,Projects covenant breaches and equity cure sizing windows.
advanced_equities_spinoffs_restructuring/equity_stub_volatility_estimator.py,,finance,maybe,high,Models stub volatility using component variance contribution.
advanced_equities_spinoffs_restructuring/liability_management_transaction_mapper.py,,finance,maybe,high,Maps tender/exchange sequences to assess residual capital structure risk.
advanced_equities_spinoffs_restructuring/minority_interest_buyin_model.py,,finance,maybe,high,Values buy-in economics vs. minority protections and cash flow splits.
advanced_equities_spinoffs_restructuring/net_operating_loss_shield_optimizer.py,,finance,maybe,high,Maps NOL usage scenarios to protect tax assets post-transaction.
advanced_equities_spinoffs_restructuring/noncore_asset_sale_sequencer.py,,finance,maybe,high,Orders asset dispositions to maximize deleveraging and valuation uplift.
advanced_equities_spinoffs_restructuring/poison_pill_trigger_analyzer.py,,finance,maybe,high,Tests thresholds and dilution math for outstanding shareholder rights plans.
advanced_equities_spinoffs_restructuring/post_reorg_equity_liquidity_planner.py,,finance,maybe,high,Forecasts float; turnover; and lockups for newly listed post-reorg equities.
advanced_equities_spinoffs_restructuring/post_spin_index_inclusion_tracker.py,,finance,no,high,Tracks index add/drop impacts following spin-effective dates.
advanced_equities_spinoffs_restructuring/reverse_morris_trust_matchmaker.py,,finance,maybe,high,Suggests RMT partners using complementary tax bases and strategic fit.
advanced_equities_spinoffs_restructuring/rights_offering_value_splitter.py,,finance,maybe,high,Values tradable rights vs. subscription commitments using historical take-up rates.
advanced_equities_spinoffs_restructuring/section382_cap_table_guard.py,,finance,maybe,high,Simulates ownership shifts to protect Section 382 limits.
advanced_equities_spinoffs_restructuring/spin_stub_pair_trade_planner.py,,finance,maybe,high,Designs hedges between parent and spin based on float/weight forecasts.
advanced_equities_spinoffs_restructuring/spin_tax_free_safe_harbor_checker.py,,finance,maybe,high,Tests transactions against IRS safe harbor requirements for tax-free status.
advanced_equities_spinoffs_restructuring/spinoff_sum_of_the_parts_modeler.py,,finance,maybe,high,Aggregates segment data into SOP valuations to benchmark spin stub pricing.
advanced_equities_spinoffs_restructuring/supervoting_conversion_timer.py,,finance,maybe,high,Tracks super-voting share collapse triggers to anticipate governance shifts.
advanced_equities_spinoffs_restructuring/tender_offer_price_response_simulator.py,,finance,maybe,high,Projects price paths for issuer/third-party tender offers across acceptance levels.
advanced_equities_spinoffs_restructuring/tracking_stock_break_even_solver.py,,finance,maybe,high,Computes break-even for tracking stock conversions and rollups.
agent_crm/agent_onboarding_validator.py,agent_onboarding_validator,generic-utility,no,low,Checks VC freshness; capability alignment; and bad-actor lists before onboarding.
agent_crm/agent_reputation_scorer.py,agent_reputation_scorer,generic-utility,no,medium,Calculates a 0-100 composite score from payments; labor; and violations.
agent_crm/agent_session_tracker.py,agent_session_tracker,generic-utility,no,low,Aggregates per-agent usage; spend; and churn risk from session logs.
agent_directory/agent_directory_manager.py,agent_directory_manager,infrastructure,maybe,medium,Registers; updates; searches; and deactivates public agent profiles.
agent_directory/agent_profile_builder.py,agent_profile_builder,infrastructure,no,low,Creates shareable markdown pages summarizing an agent
alternative_investments/art_valuation_model.py,art_valuation_model,finance,maybe,high,Uses hedonic regression weights calibrated to artist; medium; size; and provenance with comparable sales to estimate val
alternative_investments/carbon_credit_pricer.py,carbon_credit_pricer,finance,maybe,medium,Applies benchmark market prices with discounts for vintage and premiums for project quality to produce fair values. (Pre
alternative_investments/co_investment_analyzer.py,co_investment_analyzer,finance,yes,high,Calculates fee savings; carry relief; and net IRR uplift from co-investment structures. (Premium — subscribe at https://
alternative_investments/convertible_arbitrage_analytics.py,convertible_arbitrage_analytics,finance,yes,high,Computes share hedge; gamma exposure; and credit/borrow carry for convert arb positions. (Premium — subscribe at https:/
alternative_investments/crypto_yield_farming_analyzer.py,crypto_yield_farming_analyzer,finance,no,high,Converts pool volume/TVL and token incentives into APY while quantifying impermanent loss via volatility. (Premium — sub
alternative_investments/distressed_debt_recovery.py,distressed_debt_recovery,finance,yes,high,Waterfalls enterprise value through senior/mezz/equity to compute recoveries and implied returns. (Premium — subscribe a
alternative_investments/farmland_valuation.py,farmland_valuation,finance,maybe,medium,Capitalizes normalized NOI per acre and blends with comparable sale metrics to determine farmland value. (Premium — subs
alternative_investments/fund_of_funds_optimizer.py,fund_of_funds_optimizer,finance,yes,medium,Uses scenario analysis with CVaR targeting to produce FoF weights under allocation caps. (Premium — subscribe at https:/
alternative_investments/gp_clawback_calculator.py,gp_clawback_calculator,finance,yes,medium,Compares distributed carry versus catch-up waterfall to determine outstanding clawback and recommended escrow percentage
alternative_investments/hedge_fund_alpha_decomposition.py,hedge_fund_alpha_decomposition,finance,yes,high,Performs multi-factor OLS (Fama-French-Carhart) to estimate alpha; betas; R²; and information ratio for hedge fund retur
alternative_investments/illiquidity_premium_estimator.py,illiquidity_premium_estimator,finance,maybe,low,Computes the Amihud price impact ratio and converts it to an illiquidity premium using Amihud (2002). (Premium — subscri
alternative_investments/infrastructure_project_finance.py,infrastructure_project_finance,finance,yes,high,Constructs a single-asset project model to evaluate DSCR; LLCR; and equity IRR against capex and leverage assumptions. (
alternative_investments/managed_futures_trend_signal.py,managed_futures_trend_signal,finance,maybe,high,Computes normalized trend-following signals using short/medium/long moving averages and breakout statistics inspired by
alternative_investments/merger_arbitrage_spread.py,merger_arbitrage_spread,finance,maybe,medium,Computes dollar and annualized spread along with implied deal probability from price-break analysis. (Premium — subscrib
alternative_investments/nft_floor_price_analyzer.py,nft_floor_price_analyzer,finance,no,medium,Summarizes NFT market data into actionable floor price analytics including depth and wash-trade-adjusted velocity. (Prem
alternative_investments/pe_secondary_pricing.py,pe_secondary_pricing,finance,yes,high,Applies secondary market heuristics (quartile + remaining commitment) to derive bid discount and implied IRR. (Premium —
alternative_investments/portable_alpha_calculator.py,portable_alpha_calculator,finance,maybe,medium,Aggregates returns from alpha and beta sleeves; subtracts hedge cost; and reports contribution along with realized track
alternative_investments/real_asset_correlation_matrix.py,real_asset_correlation_matrix,finance,maybe,medium,Computes Pearson correlations across provided asset return series and compares tail-period correlations to detect crisis
alternative_investments/risk_parity_allocator.py,risk_parity_allocator,finance,maybe,medium,Uses iterative proportional fitting on the covariance matrix to achieve target risk budgets per asset. (Premium — subscr
alternative_investments/spac_arbitrage_analyzer.py,spac_arbitrage_analyzer,finance,maybe,medium,Breaks down SPAC trust yield; deal optionality; and expected value based on probability inputs. (Premium — subscribe at
alternative_investments/statistical_arbitrage_zscore.py,statistical_arbitrage_zscore,finance,maybe,medium,Performs OLS regression of X on Y to compute hedge ratio; z-score; and Ornstein-Uhlenbeck half-life for pairs trading. (
alternative_investments/tail_risk_hedging_cost.py,tail_risk_hedging_cost,finance,maybe,high,Aggregates put option strikes/premiums to estimate hedge cost; drawdown coverage; and breakeven levels. (Premium — subsc
alternative_investments/timber_valuation.py,timber_valuation,finance,maybe,medium,Applies Faustmann formula to timber growth and stumpage pricing to compute NPV and optimal rotation age. (Premium — subs
alternative_investments/venture_capital_method.py,venture_capital_method,finance,yes,high,Discounts exit value by target IRR; layers dilution; and solves for pre/post-money valuations per the VC method. (Premiu
alternative_investments/volatility_surface_analyzer.py,volatility_surface_analyzer,finance,maybe,medium,Regresses implied volatility against strikes for each expiry to measure skew and term structure. (Premium — subscribe at
ambassadors/ambassador_manager.py,ambassador_manager,generic-utility,no,medium,Handles ambassador applications; approvals; listings; and removals.
ambassadors/ambassador_reward_calculator.py,ambassador_reward_calculator,generic-utility,no,low,Computes base rewards and bonuses for ambassador activity.
analytics/agent_funnel_analyzer.py,agent_funnel_analyzer,data-engineering,maybe,low,Calculates conversion rates across registration; activation; engagement; and upgrade.
analytics/revenue_per_skill_analyzer.py,revenue_per_skill_analyzer,data-engineering,maybe,low,Aggregates billing records to highlight top-performing skills and concentration
analytics/skill_performance_ranker.py,skill_performance_ranker,data-engineering,maybe,medium,Combines reliability; latency; popularity; and satisfaction into a composite score.
analytics/usage_heatmap_generator.py,usage_heatmap_generator,data-engineering,maybe,low,Buckets skill requests into hour/day heatmap bins for usage insights.
anomaly/revenue_anomaly_detector.py,revenue_anomaly_detector,data-engineering,maybe,medium,Monitors rolling revenue patterns for drops and spikes.
anomaly/statistical_anomaly_detector.py,statistical_anomaly_detector,data-engineering,maybe,medium,Flags z-score anomalies across global or rolling windows.
anomaly/transaction_anomaly_flagger.py,transaction_anomaly_flagger,data-engineering,maybe,low,Scores transactions for amount; counterparty; category; and timing anomalies.
api_spec/mcp_tool_registrar.py,mcp_tool_registrar,infrastructure,no,medium,Produces a JSON-RPC compliant MCP tools/list response for Snowdrop skills.
api_spec/openapi_spec_generator.py,openapi_spec_generator,infrastructure,no,low,Converts Snowdrop skill metadata into an OpenAPI 3.0.3 specification.
api_versioning/api_version_router.py,api_version_router,infrastructure,no,medium,Negotiates version routing and flags deprecations for skills.
api_versioning/deprecation_notice_generator.py,deprecation_notice_generator,infrastructure,no,medium,Formats structured deprecation notices for skills/endpoints.
approval/approval_chain_builder.py,approval_chain_builder,infrastructure,no,low,Builds escalated approval chains based on action context and risk.
approval/multi_sig_workflow.py,multi_sig_workflow,infrastructure,no,high,Classifies an action into auto; 2FA; or multi-sig approval paths.
attribution/benchmark_comparator.py,benchmark_comparator,finance,maybe,high,Calculates alpha; beta; tracking error; and rolling alpha versus benchmark.
attribution/fee_drag_analyzer.py,fee_drag_analyzer,finance,yes,high,Summarizes fees and calculates annualized drag versus AUM.
attribution/performance_attribution.py,performance_attribution,finance,maybe,high,Decomposes active return into allocation; selection; and interaction components.
banking/apr_to_apy_converter.py,apr_to_apy_converter,other,no,low,Convert Annual Percentage Rate (APR) to Annual Percentage Yield (APY) given compounding frequency. APY = (1 + APR/n)^n -
banking/apy_to_apr_converter.py,apy_to_apr_converter,other,no,low,Convert Annual Percentage Yield (APY) to Annual Percentage Rate (APR) given compounding frequency. APR = n * ((1 + APY)^
banking/auto_lease_vs_buy_calculator.py,auto_lease_vs_buy_calculator,other,no,low,Compare total cost of leasing versus buying a vehicle. Accounts for loan payments; down payment; lease payments; and res
banking/balance_transfer_savings_calculator.py,balance_transfer_savings_calculator,other,no,low,Calculate savings from transferring a credit card balance to a promotional APR. Accounts for transfer fee and compares i
banking/cd_yield_calculator.py,cd_yield_calculator,other,no,low,Calculate CD maturity value and interest earned given principal; APY; and term in months.
banking/certificate_of_deposit_ladder_builder.py,certificate_of_deposit_ladder_builder,other,no,low,Build a CD ladder by dividing a total investment across 1-to-N year CDs. Estimates returns for each rung with a yield cu
banking/deposit_pricing_analyzer.py,deposit_pricing_analyzer,other,maybe,medium,Calculates weighted cost of deposits; effective beta; and expense impact from rate shifts.
banking/heloc_payment_calculator.py,heloc_payment_calculator,other,no,low,Calculate HELOC payments: interest-only during draw period; principal + interest during repayment period.
banking/high_yield_savings_projector.py,high_yield_savings_projector,other,no,medium,Project high-yield savings growth with an initial deposit and recurring monthly deposits; compounded monthly. Returns fi
banking/loan_amortization_calculator.py,loan_amortization_calculator,tax,yes,low,Generate a full amortization schedule for a fixed-rate loan showing month; payment; principal; interest; and remaining b
banking/loan_comparison_calculator.py,loan_comparison_calculator,other,no,medium,Compare multiple loan offers side-by-side. For each loan compute monthly payment; total paid; and total interest; then r
banking/loan_loss_reserve_modeler.py,loan_loss_reserve_modeler,other,no,high,Calculates expected credit losses by segment with macro overlays.
banking/minimum_payment_calculator.py,minimum_payment_calculator,other,no,low,Calculate credit card minimum payment; estimate months to payoff paying only the minimum; and total interest paid.
banking/money_market_yield_calculator.py,money_market_yield_calculator,other,no,low,Calculate the money market yield (MMY) for a discount instrument. MMY = ((face - price) / price) * (360 / days_to_maturi
banking/mortgage_refinance_analyzer.py,mortgage_refinance_analyzer,other,no,medium,Analyze whether refinancing a mortgage is worthwhile. Compare current vs new monthly payments; calculate breakeven month
banking/net_interest_margin_calculator.py,net_interest_margin_calculator,other,no,low,Computes current NIM; gap ratios; and projected NIM under rate shocks.
banking/savings_account_comparator.py,savings_account_comparator,other,no,high,Compare earnings across multiple savings accounts for a given principal over 1; 3; and 5 year horizons; ranked by return
banking/wire_transfer_fee_calculator.py,wire_transfer_fee_calculator,other,no,low,Calculate total cost of a wire transfer including fees; and express the fee as a percentage of the transfer amount.
benchmarks/industry_benchmark_comparator.py,industry_benchmark_comparator,finance,maybe,medium,Ranks Snowdrop metrics versus benchmark percentiles to highlight strengths and gaps.
billing/invoice_generator.py,invoice_generator,finance,maybe,low,Generates franchise-friendly invoices with royalty handling.
billing/payment_reconciler.py,payment_reconciler,finance,maybe,medium,Reconciles Watering Hole payments against invoice records.
billing/subscription_manager.py,subscription_manager,finance,maybe,medium,Identifies subscriptions due for billing and drafts charge records.
blockchain/nft_inventory_tracker.py,nft_inventory_tracker,crypto/defi,no,low,Aggregates NFT holdings with valuation deltas and allocation mix.
blockchain/sol_transfer_builder.py,sol_transfer_builder,crypto/defi,no,low,Constructs Solana transfer payloads and fee estimates pending approval.
blockchain/token_swap_estimator.py,token_swap_estimator,crypto/defi,no,medium,Estimates CFMM swap execution with slippage buffer for Thunder review.
blockchain/ton_transfer_builder.py,ton_transfer_builder,crypto/defi,no,low,Constructs TON transfer payloads without broadcasting.
blockchain_analytics/active_address_momentum.py,active_address_momentum,crypto/defi,no,medium,Analyzes daily active address series; applying momentum and Metcalfe
blockchain_analytics/bonding_curve_pricer.py,bonding_curve_pricer,crypto/defi,no,medium,Evaluates different bonding curve formulations (linear; exponential; Bancor) for price projection.
blockchain_analytics/exchange_netflow_analyzer.py,exchange_netflow_analyzer,crypto/defi,no,low,Summarizes exchange wallet activity for accumulation/distribution signal generation.
blockchain_analytics/hash_rate_security_model.py,hash_rate_security_model,crypto/defi,no,high,Calculates PoW security metrics and estimated 51% attack costs drawing from Nakamoto consensus economics.
blockchain_analytics/mvrv_ratio_calculator.py,mvrv_ratio_calculator,crypto/defi,no,low,Computes Market Value to Realized Value ratio to identify accumulation or euphoria regimes.
blockchain_analytics/nvt_ratio_calculator.py,nvt_ratio_calculator,crypto/defi,no,low,Computes Willy Woo
blockchain_analytics/realized_cap_calculator.py,realized_cap_calculator,crypto/defi,no,low,Computes realized capitalization from UTXO-style inputs and infers unrealized profit and supply composition.
blockchain_analytics/stock_to_flow_calculator.py,stock_to_flow_calculator,crypto/defi,no,medium,Applies the PlanB stock-to-flow regression to estimate model price and scarcity context.
blockchain_analytics/token_burn_deflation.py,token_burn_deflation,crypto/defi,no,medium,Analyzes burn events vs emissions to classify token supply behavior.
blockchain_analytics/token_supply_analyzer.py,token_supply_analyzer,crypto/defi,no,medium,Analyzes emission schedules and burn rates to forecast supply paths and inflation.
blockchain_analytics/token_unlock_scheduler.py,token_unlock_scheduler,crypto/defi,no,high,Analyzes vesting events to quantify unlock pace; dilution; and sell pressure windows.
blockchain_analytics/token_velocity_calculator.py,token_velocity_calculator,crypto/defi,no,low,Computes MV=PQ velocity metrics and highlights value unlocked through slower token circulation.
blockchain_analytics/transaction_fee_analyzer.py,transaction_fee_analyzer,crypto/defi,no,medium,Analyzes fee samples and block utilization to guide transaction fee bidding.
blockchain_analytics/whale_concentration_index.py,whale_concentration_index,crypto/defi,no,low,Evaluates distribution of balances to understand whale dominance and decentralization risk.
bounties/bounty_claim_handler.py,bounty_claim_handler,generic-utility,no,medium,Handles claim lifecycle events for posted community bounties.
bounties/bounty_payout_processor.py,bounty_payout_processor,generic-utility,no,medium,Validates and stages payouts for approved bounty winners.
bounties/bounty_poster.py,bounty_poster,generic-utility,no,medium,Publishes new skill; feature; or bug-fix bounties to the community board.
budgeting/annual_budget_builder.py,annual_budget_builder,budget,yes,low,Projects monthly revenue/expense totals with growth assumptions for 12 months.
budgeting/annual_expense_projector.py,annual_expense_projector,budget,yes,medium,Projects monthly expenses to annual totals with category breakdown.
budgeting/barista_fire_calculator.py,barista_fire_calculator,budget,yes,low,Calculates Barista FIRE number: the portfolio needed to cover the gap between expenses and part-time income.
budgeting/bill_splitter.py,bill_splitter,budget,yes,medium,Splits a total bill amount evenly among a group of people; including tip calculation.
budgeting/budget_variance_analyzer.py,budget_variance_analyzer,budget,yes,medium,Compares actuals to budget with variance labeling and assessments.
budgeting/coast_fire_calculator.py,coast_fire_calculator,budget,yes,low,Determines if current savings will compound to the target retirement amount without additional contributions (Coast FIRE
